2019-08-19 12:38:03,479 [main] INFO  o.a.d.s.b.c.e.WelcomeLogoApplicationListener [WelcomeLogoApplicationListener.java : 63] - 
2019-08-19 12:38:05,380 [main] INFO  org.apache.zookeeper.ZooKeeper [Environment.java : 109] - Client environment:java.class.path=/Users/hzq/workspace/hzq-cloud/HZQ-Cloud/hzq-base-service/base-provider/target/classes:/Users/hzq/software/apache-maven-3.5.3/repo/com/hzqing/common/hzq-common-core/1.0-SNAPSHOT/hzq-common-core-1.0-SNAPSHOT.jar:/Users/hzq/software/apache-maven-3.5.3/repo/com/fasterxml/jackson/core/jackson-databind/2.9.9/jackson-databind-2.9.9.jar:/Users/hzq/software/apache-maven-3.5.3/repo/com/fasterxml/jackson/core/jackson-annotations/2.9.0/jackson-annotations-2.9.0.jar:/Users/hzq/software/apache-maven-3.5.3/repo/com/fasterxml/jackson/core/jackson-core/2.9.9/jackson-core-2.9.9.jar:/Users/hzq/software/apache-maven-3.5.3/repo/org/projectlombok/lombok/1.18.8/lombok-1.18.8.jar:/Users/hzq/workspace/hzq-cloud/HZQ-Cloud/hzq-base-service/base-api/target/classes:/Users/hzq/software/apache-maven-3.5.3/repo/com/baomidou/mybatis-plus-core/3.1.2/mybatis-plus-core-3.1.2.jar:/Users/hzq/software/apache-maven-3.5.3/repo/com/baomidou/mybatis-plus-annotation/3.1.2/mybatis-plus-annotation-3.1.2.jar:/Users/hzq/software/apache-maven-3.5.3/repo/com/github/jsqlparser/jsqlparser/1.2/jsqlparser-1.2.jar:/Users/hzq/software/apache-maven-3.5.3/repo/com/baomidou/mybatis-plus-extension/3.1.2/mybatis-plus-extension-3.1.2.jar:/Users/hzq/software/apache-maven-3.5.3/repo/org/mybatis/mybatis-spring/2.0.1/mybatis-spring-2.0.1.jar:/Users/hzq/software/apache-maven-3.5.3/repo/org/apache/commons/commons-lang3/3.8.1/commons-lang3-3.8.1.jar:/Users/hzq/software/apache-maven-3.5.3/repo/com/hzqing/common/hzq-common-tools/0.0.1-SNAPSHOT/hzq-common-tools-0.0.1-SNAPSHOT.jar:/Users/hzq/software/apache-maven-3.5.3/repo/org/springframework/boot/spring-boot-starter/2.1.7.RELEASE/spring-boot-starter-2.1.7.RELEASE.jar:/Users/hzq/software/apache-maven-3.5.3/repo/org/springframework/boot/spring-boot/2.1.7.RELEASE/spring-boot-2.1.7.RELEASE.jar:/Users/hzq/software/apache-maven-3.5.3/repo/org/springframework/boot/spring-boot-autoconfigure/2.1.7.RELEASE/spring-boot-autoconfigure-2.1.7.RELEASE.jar:/Users/hzq/software/apache-maven-3.5.3/repo/org/springframework/boot/spring-boot-starter-logging/2.1.7.RELEASE/spring-boot-starter-logging-2.1.7.RELEASE.jar:/Users/hzq/software/apache-maven-3.5.3/repo/org/apache/logging/log4j/log4j-to-slf4j/2.11.2/log4j-to-slf4j-2.11.2.jar:/Users/hzq/software/apache-maven-3.5.3/repo/org/apache/logging/log4j/log4j-api/2.11.2/log4j-api-2.11.2.jar:/Users/hzq/software/apache-maven-3.5.3/repo/org/slf4j/jul-to-slf4j/1.7.26/jul-to-slf4j-1.7.26.jar:/Users/hzq/software/apache-maven-3.5.3/repo/javax/annotation/javax.annotation-api/1.3.2/javax.annotation-api-1.3.2.jar:/Users/hzq/software/apache-maven-3.5.3/repo/org/springframework/spring-core/5.1.9.RELEASE/spring-core-5.1.9.RELEASE.jar:/Users/hzq/software/apache-maven-3.5.3/repo/org/springframework/spring-jcl/5.1.9.RELEASE/spring-jcl-5.1.9.RELEASE.jar:/Users/hzq/software/apache-maven-3.5.3/repo/org/yaml/snakeyaml/1.23/snakeyaml-1.23.jar:/Users/hzq/software/apache-maven-3.5.3/repo/org/apache/dubbo/dubbo-spring-boot-starter/2.7.1/dubbo-spring-boot-starter-2.7.1.jar:/Users/hzq/software/apache-maven-3.5.3/repo/org/apache/dubbo/dubbo-spring-boot-autoconfigure/2.7.1/dubbo-spring-boot-autoconfigure-2.7.1.jar:/Users/hzq/software/apache-maven-3.5.3/repo/org/apache/dubbo/dubbo-spring-boot-autoconfigure-compatible/2.7.1/dubbo-spring-boot-autoconfigure-compatible-2.7.1.jar:/Users/hzq/software/apache-maven-3.5.3/repo/org/apache/dubbo/dubbo/2.7.3/dubbo-2.7.3.jar:/Users/hzq/software/apache-maven-3.5.3/repo/org/springframework/spring-context/5.1.9.RELEASE/spring-context-5.1.9.RELEASE.jar:/Users/hzq/software/apache-maven-3.5.3/repo/org/springframework/spring-aop/5.1.9.RELEASE/spring-aop-5.1.9.RELEASE.jar:/Users/hzq/software/apache-maven-3.5.3/repo/org/springframework/spring-beans/5.1.9.RELEASE/spring-beans-5.1.9.RELEASE.jar:/Users/hzq/software/apache-maven-3.5.3/repo/org/springframework/spring-expression/5.1.9.RELEASE/spring-expression-5.1.9.RELEASE.jar:/Users/hzq/software/apache-maven-3.5.3/repo/org/javassist/javassist/3.20.0-GA/javassist-3.20.0-GA.jar:/Users/hzq/software/apache-maven-3.5.3/repo/io/netty/netty-all/4.1.38.Final/netty-all-4.1.38.Final.jar:/Users/hzq/software/apache-maven-3.5.3/repo/com/google/code/gson/gson/2.8.5/gson-2.8.5.jar:/Users/hzq/software/apache-maven-3.5.3/repo/org/slf4j/slf4j-api/1.7.26/slf4j-api-1.7.26.jar:/Users/hzq/software/apache-maven-3.5.3/repo/ch/qos/logback/logback-classic/1.2.3/logback-classic-1.2.3.jar:/Users/hzq/software/apache-maven-3.5.3/repo/ch/qos/logback/logback-core/1.2.3/logback-core-1.2.3.jar:/Users/hzq/software/apache-maven-3.5.3/repo/org/mapstruct/mapstruct/1.3.0.Final/mapstruct-1.3.0.Final.jar:/Users/hzq/software/apache-maven-3.5.3/repo/org/mapstruct/mapstruct-processor/1.3.0.Final/mapstruct-processor-1.3.0.Final.jar:/Users/hzq/software/apache-maven-3.5.3/repo/org/apache/curator/curator-recipes/4.2.0/curator-recipes-4.2.0.jar:/Users/hzq/software/apache-maven-3.5.3/repo/org/apache/curator/curator-framework/4.2.0/curator-framework-4.2.0.jar:/Users/hzq/software/apache-maven-3.5.3/repo/org/apache/curator/curator-client/4.2.0/curator-client-4.2.0.jar:/Users/hzq/software/apache-maven-3.5.3/repo/org/apache/zookeeper/zookeeper/3.5.4-beta/zookeeper-3.5.4-beta.jar:/Users/hzq/software/apache-maven-3.5.3/repo/commons-cli/commons-cli/1.2/commons-cli-1.2.jar:/Users/hzq/software/apache-maven-3.5.3/repo/log4j/log4j/1.2.17/log4j-1.2.17.jar:/Users/hzq/software/apache-maven-3.5.3/repo/org/apache/yetus/audience-annotations/0.5.0/audience-annotations-0.5.0.jar:/Users/hzq/software/apache-maven-3.5.3/repo/io/netty/netty/3.10.6.Final/netty-3.10.6.Final.jar:/Users/hzq/software/apache-maven-3.5.3/repo/com/google/guava/guava/27.0.1-jre/guava-27.0.1-jre.jar:/Users/hzq/software/apache-maven-3.5.3/repo/com/google/guava/failureaccess/1.0.1/failureaccess-1.0.1.jar:/Users/hzq/software/apache-maven-3.5.3/repo/com/google/guava/listenablefuture/9999.0-empty-to-avoid-conflict-with-guava/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar:/Users/hzq/software/apache-maven-3.5.3/repo/com/google/code/findbugs/jsr305/3.0.2/jsr305-3.0.2.jar:/Users/hzq/software/apache-maven-3.5.3/repo/org/checkerframework/checker-qual/2.5.2/checker-qual-2.5.2.jar:/Users/hzq/software/apache-maven-3.5.3/repo/com/google/errorprone/error_prone_annotations/2.2.0/error_prone_annotations-2.2.0.jar:/Users/hzq/software/apache-maven-3.5.3/repo/com/google/j2objc/j2objc-annotations/1.1/j2objc-annotations-1.1.jar:/Users/hzq/software/apache-maven-3.5.3/repo/org/codehaus/mojo/animal-sniffer-annotations/1.17/animal-sniffer-annotations-1.17.jar:/Users/hzq/software/apache-maven-3.5.3/repo/com/zaxxer/HikariCP/3.3.0/HikariCP-3.3.0.jar:/Users/hzq/software/apache-maven-3.5.3/repo/mysql/mysql-connector-java/8.0.16/mysql-connector-java-8.0.16.jar:/Users/hzq/software/apache-maven-3.5.3/repo/com/google/protobuf/protobuf-java/3.6.1/protobuf-java-3.6.1.jar:/Users/hzq/software/apache-maven-3.5.3/repo/com/baomidou/mybatis-plus-boot-starter/3.1.2/mybatis-plus-boot-starter-3.1.2.jar:/Users/hzq/software/apache-maven-3.5.3/repo/com/baomidou/mybatis-plus/3.1.2/mybatis-plus-3.1.2.jar:/Users/hzq/software/apache-maven-3.5.3/repo/org/springframework/boot/spring-boot-starter-jdbc/2.1.7.RELEASE/spring-boot-starter-jdbc-2.1.7.RELEASE.jar:/Users/hzq/software/apache-maven-3.5.3/repo/org/springframework/spring-jdbc/5.1.9.RELEASE/spring-jdbc-5.1.9.RELEASE.jar:/Users/hzq/software/apache-maven-3.5.3/repo/org/springframework/spring-tx/5.1.9.RELEASE/spring-tx-5.1.9.RELEASE.jar:/Users/hzq/software/apache-maven-3.5.3/repo/org/mybatis/mybatis/3.5.2/mybatis-3.5.2.jar:/Applications/IntelliJ IDEA 2.app/Contents/lib/idea_rt.jar
2019-08-19 12:38:05,380 [main] INFO  org.apache.zookeeper.ZooKeeper [Environment.java : 109] - Client environment:java.library.path=/Users/hzq/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.
2019-08-19 12:38:05,380 [main] INFO  org.apache.zookeeper.ZooKeeper [Environment.java : 109] - Client environment:java.io.tmpdir=/var/folders/wt/djqg5pmd4f3bplxyhxhqnp200000gn/T/
2019-08-19 12:38:05,380 [main] INFO  org.apache.zookeeper.ZooKeeper [Environment.java : 109] - Client environment:java.compiler=<NA>
2019-08-19 12:38:05,380 [main] INFO  org.apache.zookeeper.ZooKeeper [Environment.java : 109] - Client environment:os.name=Mac OS X
2019-08-19 12:38:05,381 [main] INFO  org.apache.zookeeper.ZooKeeper [Environment.java : 109] - Client environment:os.arch=x86_64
2019-08-19 12:38:05,381 [main] INFO  org.apache.zookeeper.ZooKeeper [Environment.java : 109] - Client environment:os.version=10.14.6
2019-08-19 12:38:05,381 [main] INFO  org.apache.zookeeper.ZooKeeper [Environment.java : 109] - Client environment:user.name=hzq
2019-08-19 12:38:05,381 [main] INFO  org.apache.zookeeper.ZooKeeper [Environment.java : 109] - Client environment:user.home=/Users/hzq
2019-08-19 12:38:05,381 [main] INFO  org.apache.zookeeper.ZooKeeper [Environment.java : 109] - Client environment:user.dir=/Users/hzq/workspace/hzq-cloud/HZQ-Cloud/hzq-base-service
2019-08-19 12:38:05,381 [main] INFO  org.apache.zookeeper.ZooKeeper [Environment.java : 109] - Client environment:os.memory.free=266MB
2019-08-19 12:38:05,382 [main] INFO  org.apache.zookeeper.ZooKeeper [Environment.java : 109] - Client environment:os.memory.max=4096MB
2019-08-19 12:38:05,382 [main] INFO  org.apache.zookeeper.ZooKeeper [Environment.java : 109] - Client environment:os.memory.total=308MB
2019-08-19 12:38:05,382 [main] INFO  o.apache.curator.utils.Compatibility [Compatibility.java : 61] - Using emulated InjectSessionExpiration
2019-08-19 12:38:05,396 [main] INFO  o.a.c.f.imps.CuratorFrameworkImpl [CuratorFrameworkImpl.java : 308] - Starting
2019-08-19 12:38:05,399 [main] INFO  org.apache.zookeeper.ZooKeeper [ZooKeeper.java : 868] - Initiating client connection, connectString=localhost:2181 sessionTimeout=60000 watcher=org.apache.curator.ConnectionState@63d677f5
2019-08-19 12:38:05,405 [main] INFO  o.apache.zookeeper.ClientCnxnSocket [ClientCnxnSocket.java : 236] - jute.maxbuffer value is 4194304 Bytes
2019-08-19 12:38:05,411 [main-SendThread(localhost:2181)] INFO  org.apache.zookeeper.ClientCnxn [ClientCnxn.java : 1106] - Opening socket connection to server localhost/0:0:0:0:0:0:0:1:2181. Will not attempt to authenticate using SASL (unknown error)
2019-08-19 12:38:05,414 [main] INFO  o.a.c.f.imps.CuratorFrameworkImpl [CuratorFrameworkImpl.java : 356] - Default schema
2019-08-19 12:38:05,423 [main-SendThread(localhost:2181)] INFO  org.apache.zookeeper.ClientCnxn [ClientCnxn.java : 947] - Socket connection established, initiating session, client: /0:0:0:0:0:0:0:1:53234, server: localhost/0:0:0:0:0:0:0:1:2181
2019-08-19 12:38:05,435 [main-SendThread(localhost:2181)] INFO  org.apache.zookeeper.ClientCnxn [ClientCnxn.java : 1381] - Session establishment complete on server localhost/0:0:0:0:0:0:0:1:2181, sessionid = 0x1000000db5b003a, negotiated timeout = 40000
2019-08-19 12:38:05,440 [main-EventThread] INFO  o.a.c.f.state.ConnectionStateManager [ConnectionStateManager.java : 251] - State change: CONNECTED
2019-08-19 12:38:05,447 [main-EventThread] INFO  o.a.c.framework.imps.EnsembleTracker [EnsembleTracker.java : 201] - New config event received: {}
2019-08-19 12:38:05,451 [main-EventThread] INFO  o.a.c.framework.imps.EnsembleTracker [EnsembleTracker.java : 201] - New config event received: {}
2019-08-19 12:38:05,813 [main] INFO  c.h.b.p.BaseProviderApplication [StartupInfoLogger.java : 59] - Started BaseProviderApplication in 2.633 seconds (JVM running for 3.5)
2019-08-19 12:38:05,815 [pool-2-thread-1] INFO  o.a.d.s.b.c.e.AwaitingNonWebApplicationListener [AwaitingNonWebApplicationListener.java : 140] -  [Dubbo] Current Spring Boot Application is await...
2019-08-19 13:13:07,335 [Thread-1] INFO  o.a.d.s.b.c.e.AwaitingNonWebApplicationListener [AwaitingNonWebApplicationListener.java : 155] -  [Dubbo] Current Spring Boot Application is about to shutdown...
2019-08-19 13:13:07,371 [Curator-Framework-0] INFO  o.a.c.f.imps.CuratorFrameworkImpl [CuratorFrameworkImpl.java : 955] - backgroundOperationsLoop exiting
2019-08-19 13:13:07,384 [main-EventThread] INFO  org.apache.zookeeper.ClientCnxn [ClientCnxn.java : 514] - EventThread shut down for session: 0x1000000db5b003a
2019-08-19 13:13:07,384 [Thread-1] INFO  org.apache.zookeeper.ZooKeeper [ZooKeeper.java : 1334] - Session: 0x1000000db5b003a closed
2019-08-19 13:13:07,395 [Thread-1] INFO  o.a.c.f.imps.CuratorFrameworkImpl [CuratorFrameworkImpl.java : 308] - Starting
2019-08-19 13:13:07,397 [Thread-1] INFO  org.apache.zookeeper.ZooKeeper [ZooKeeper.java : 868] - Initiating client connection, connectString=localhost:2181 sessionTimeout=60000 watcher=org.apache.curator.ConnectionState@50e61c55
2019-08-19 13:13:07,398 [Thread-1] INFO  o.apache.zookeeper.ClientCnxnSocket [ClientCnxnSocket.java : 236] - jute.maxbuffer value is 4194304 Bytes
2019-08-19 13:13:07,399 [Thread-1-SendThread(localhost:2181)] INFO  org.apache.zookeeper.ClientCnxn [ClientCnxn.java : 1106] - Opening socket connection to server localhost/0:0:0:0:0:0:0:1:2181. Will not attempt to authenticate using SASL (unknown error)
2019-08-19 13:13:07,399 [Thread-1] INFO  o.a.c.f.imps.CuratorFrameworkImpl [CuratorFrameworkImpl.java : 356] - Default schema
2019-08-19 13:13:07,400 [Thread-1-SendThread(localhost:2181)] INFO  org.apache.zookeeper.ClientCnxn [ClientCnxn.java : 947] - Socket connection established, initiating session, client: /0:0:0:0:0:0:0:1:62562, server: localhost/0:0:0:0:0:0:0:1:2181
2019-08-19 13:13:07,404 [Thread-1-SendThread(localhost:2181)] INFO  org.apache.zookeeper.ClientCnxn [ClientCnxn.java : 1381] - Session establishment complete on server localhost/0:0:0:0:0:0:0:1:2181, sessionid = 0x1000000db5b003d, negotiated timeout = 40000
2019-08-19 13:13:07,406 [Thread-1-EventThread] INFO  o.a.c.f.state.ConnectionStateManager [ConnectionStateManager.java : 251] - State change: CONNECTED
2019-08-19 13:13:07,411 [Thread-1-EventThread] INFO  o.a.c.framework.imps.EnsembleTracker [EnsembleTracker.java : 201] - New config event received: {}
2019-08-19 13:13:07,412 [Thread-1-EventThread] INFO  o.a.c.framework.imps.EnsembleTracker [EnsembleTracker.java : 201] - New config event received: {}
2019-08-19 13:13:07,442 [Thread-1] INFO  com.zaxxer.hikari.HikariDataSource [HikariDataSource.java : 350] - HikariPool-1 - Shutdown initiated...
2019-08-19 13:13:07,463 [Thread-1] INFO  com.zaxxer.hikari.HikariDataSource [HikariDataSource.java : 352] - HikariPool-1 - Shutdown completed.
2019-08-19 13:13:07,464 [Thread-1] INFO  o.a.d.c.s.b.f.a.ReferenceAnnotationBeanPostProcessor [AnnotationInjectedBeanPostProcessor.java : 305] - class org.apache.dubbo.config.spring.beans.factory.annotation.ReferenceAnnotationBeanPostProcessor was destroying!
